id,url,freq,name,latitude,longitude
306878,https://www.zomato.com/ncr/mystery-of-food-indirapuram-ghaziabad,1,Mystery Of Food,28.6472235397,77.3746470362
313207,https://www.zomato.com/ncr/smokeys-bbq-and-grill-khan-market-new-delhi,1,Smokey's BBQ And Grill,28.6007324548,77.2274192423
18749590,https://www.zomato.com/mumbai/bindaas-begum-rockin-raja-mulund-west,1,Bindaas Begum Rockin' Raja,19.1606160873,72.9455776513
18745519,https://www.zomato.com/ncr/united-coffee-house-rewind-nehru-place-new-delhi,1,United Coffee House Rewind,28.5514634009,77.2513975203
18725664,https://www.zomato.com/ncr/leaf-n-loaf-sector-62-noida,1,Leaf N Loaf,28.6284862000,77.3737337440
18796020,https://www.zomato.com/ncr/coffee-bond-sector-31-gurgaon,1,Coffee Bond,28.4457025106,77.0448466390
18722480,https://www.zomato.com/ncr/farzi-cafe-aerocity-new-delhi,1,Farzi Cafe,28.5517060000,77.1217050000
18895645,https://www.zomato.com/ncr/plum-by-bent-chair-aerocity-new-delhi,1,Plum By Bent Chair,28.5515400000,77.1227040000
18429148,https://www.zomato.com/ncr/pa-pa-ya-saket-new-delhi,1,Pa Pa Ya,28.5285368249,77.2184998915
18902297,https://www.zomato.com/ncr/drunken-detective-indirapuram-ghaziabad,1,Drunken Detective,28.6399527569,77.3693184927
18277258,https://www.zomato.com/ncr/bercos-indirapuram-ghaziabad,1,Berco's,28.6396811594,77.3688548058
18374889,https://www.zomato.com/ncr/the-readers-cafe-indirapuram-ghaziabad,1,The Reader's Cafe,28.6398000386,77.3694445565
306595,https://www.zomato.com/ncr/dee-the-bakerr-ip-extension-new-delhi,1,Dee The Bakerr,28.6358281070,77.3044140637
18416984,https://www.zomato.com/dubai/filli-1-mankhool,1,FiLLi,25.2547617959,55.3035171703
200124,https://www.zomato.com/dubai/yo-sushi-mankhool,1,YO! Sushi - يو! سوشي,25.2537674996,55.3032999113
18289242,https://www.zomato.com/CyberHubSocial,1,Cyber Hub Social,28.4940571661,77.0883668214
18448323,https://www.zomato.com/ncr/little-after-dark-indirapuram-ghaziabad,1,Little After Dark,28.6398809587,77.3684591800
18532447,https://www.zomato.com/ncr/foozy-dlf-phase-1-gurgaon,1,Foozy,28.4749167754,77.1024199203
71083,https://www.zomato.com/chennai/colony-the-raintree-alwarpet,1,Colony - The Raintree,13.0286787298,80.2524457499
71768,https://www.zomato.com/chennai/waffles-thru-the-day-adyar,1,Waffles Thru The Day,12.9960721646,80.2526351810
300688,https://www.zomato.com/ncr/caf%C3%A9-knosh-the-leela-ambience-convention-hotel-vivek-vihar-new-delhi,1,Café Knosh - The Leela Ambience Convention Hotel,28.6615650124,77.3027490824
97758,https://www.zomato.com/hyderabad/dadus-banjara-hills,1,Dadu's,17.4076462336,78.4425105527
91662,https://www.zomato.com/hyderabad/paradise-biryani-paradise-circle-secunderabad,1,Paradise Biryani,17.4416986084,78.4875260666
18222574,https://www.zomato.com/ncr/caf%C3%A9-pluck-pullman-new-delhi-aerocity-aerocity-new-delhi,1,Café Pluck - Pullman New Delhi Aerocity,28.5545290000,77.1240222000
18540816,https://www.zomato.com/ncr/spoon-chopsticks-indirapuram-ghaziabad,1,Spoon & Chopsticks,28.6473815434,77.3688185960
